package,title,topic,maintainer,url,readme,source,mark
algorithm2e,algorithm2e – Floating algorithm environment with algorithmic keywords,pseudocode,"Christophe Fiorio,Ivan Kokan",https://www.ctan.org/pkg/algorithm2e,https://mirrors.ctan.org/macros/latex/contrib/algorithm2e/README,https://www.ctan.org/tex-archive/macros/latex/contrib/algorithm2e,""
algpseudocodex,algpseudocodex – Package for typesetting pseudocode,pseudocode,Christian Matt,https://www.ctan.org/pkg/algpseudocodex,https://mirrors.ctan.org/macros/latex/contrib/algpseudocodex/README.md,https://github.com/chrmatt/algpseudocodex,""
algxpar,algxpar – Support multiple lines of pseudocode,pseudocode,Jander Moreira,https://www.ctan.org/pkg/algxpar,https://mirrors.ctan.org/macros/latex/contrib/algxpar/README.md,https://github.com/jandermoreira/algxpar,""
almendra,almendra – Almendra fonts with LaTeX support,"font t1enc,font,body font,font type1,proportional font,font support,font serif,calligraphic font,font ttf",Bob Tennent,https://www.ctan.org/pkg/almendra,https://mirrors.ctan.org/fonts/almendra/README,https://www.ctan.org/tex-archive/fonts/almendra,""
altsubsup,altsubsup – Subscripts and superscripts with square brackets,"maths,subsup position",Julien Labbé,https://www.ctan.org/pkg/altsubsup,https://mirrors.ctan.org/macros/latex/contrib/altsubsup/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/altsubsup,""
animate,animate – Create PDF and SVG animations from graphics files and inline graphics,graphics motion,Alexander Grahn,https://www.ctan.org/pkg/animate,https://mirrors.ctan.org/macros/latex/contrib/animate/README.md,https://gitlab.com/agrahn/animate,""
annot-pro,"annot-pro – Create text, stamp and file attachment annotations","adobe distiller,pdf features",Donald P. Story (deceased),https://www.ctan.org/pkg/annot-pro,https://mirrors.ctan.org/macros/latex/contrib/annot_pro/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/annot_pro,""
annotate-equations,annotate-equations – Easily annotate math equations using TikZ,"maths,decoration,pgf tikz",ST John,https://www.ctan.org/pkg/annotate-equations,https://mirrors.ctan.org/macros/latex/contrib/annotate-equations/README.md,https://github.com/st--/annotate-equations,""
arara,arara – Automation of LaTeX compilation,compilation,Paulo Roberto Massa Cereda,https://www.ctan.org/pkg/arara,https://mirrors.ctan.org/support/arara/README.md,https://gitlab.com/islandoftex/arara/,""
archaeologie,archaeologie – A citation-style which covers rules of the German Archaeological Institute,"humanities,biblatex",Lukas C. Bossert,https://www.ctan.org/pkg/archaeologie,https://mirrors.ctan.org/macros/latex/contrib/biblatex-contrib/archaeologie/README.md,https://github.com/LukasCBossert/biblatex-archaeologie,""
argumentation,argumentation – Create abstract argumentation frameworks via TikZ,"diagrams,graphics,pgf tikz",Lars Bengel,https://www.ctan.org/pkg/argumentation,https://mirrors.ctan.org/graphics/pgf/contrib/argumentation/README.md,https://github.com/aig-hagen/tikz_argumentation,""
arimo,arimo – Arimo sans serif fonts with LaTeX support,"font,font virtual,cyrillic font,sans font,font type1,font ttf,proportional font","Steve Matteson,Bob Tennent",https://www.ctan.org/pkg/arimo,https://mirrors.ctan.org/fonts/arimo/README,https://www.ctan.org/tex-archive/fonts/arimo,""
arraycols,arraycols – New column types for array and tabular environments,"table,alignment,alignment support",Antoine Missier,https://www.ctan.org/pkg/arraycols,https://mirrors.ctan.org/macros/latex/contrib/arraycols/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/arraycols,""
association-matrix,association-matrix – LaTeX support for creating association matrices,"table,matrix",Whisperity,https://www.ctan.org/pkg/association-matrix,https://mirrors.ctan.org/macros/latex/contrib/association-matrix/README.md,https://github.com/whisperity/association-matrix,""
asternote,asternote – Annotation symbols enclosed in square brackets and marked with an asterisk,"japanese,footnote",Yukoh Kusakabe,https://www.ctan.org/pkg/asternote,https://mirrors.ctan.org/macros/latex/contrib/asternote/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/asternote,""
asy-overview,asy-overview – A brief overview of the Asymptote language for drawing mathematical graphics,"documentation,graphics documentation,documentation package",Jim Hefferon,https://www.ctan.org/pkg/asy-overview,https://mirrors.ctan.org/info/asy-overview/README,https://gitlab.com/jim.hefferon/asy_tut,""
asymptote-by-example-zh-cn,asymptote-by-example-zh-cn – Asymptote by example Asymptote by example,chinese documentation,Leo Liu,https://www.ctan.org/pkg/asymptote-by-example-zh-cn,https://mirrors.ctan.org/info/asymptote-by-example-zh-cn/README,https://www.ctan.org/tex-archive/info/asymptote-by-example-zh-cn,""
asymptote-manual-zh-cn,asymptote-manual-zh-cn – A Chinese translation of the asymptote manual,chinese documentation,Leo Liu,https://www.ctan.org/pkg/asymptote-manual-zh-cn,https://mirrors.ctan.org/info/asymptote-manual-zh-cn/README,https://www.ctan.org/tex-archive/info/asymptote-manual-zh-cn,""
atkinson,atkinson – Support for the Atkinson Hyperlegible family of fonts,"accessibility support,font,font type1,sans font,otf font",Bob Tennent,https://www.ctan.org/pkg/atkinson,https://mirrors.ctan.org/fonts/atkinson/README,https://www.ctan.org/tex-archive/fonts/atkinson,""
attachfile,attachfile – Attach arbitrary files to a PDF document,pdf features,Scott Pakin,https://www.ctan.org/pkg/attachfile,https://mirrors.ctan.org/macros/latex/contrib/attachfile/README,https://www.ctan.org/tex-archive/macros/latex/contrib/attachfile,""
aurical,aurical – Calligraphic fonts for use with LaTeX in T1 encoding,"font,calligraphic font,font type1",Christian Gollwitzer,https://www.ctan.org/pkg/aurical,https://mirrors.ctan.org/fonts/aurical/README,https://www.ctan.org/tex-archive/fonts/aurical,""
automata,"automata – Finite state machines, graphs and trees in METAPOST",automata,Gabriele Puppis,https://www.ctan.org/pkg/automata,https://mirrors.ctan.org/graphics/metapost/contrib/macros/automata/README,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/automata,""
awesomebox,"awesomebox – Draw admonition blocks in your documents, illustrated with FontAwesome icons",boxing,Étienne Deparis,https://www.ctan.org/pkg/awesomebox,https://mirrors.ctan.org/graphics/awesomebox/README.md,https://git.umaneti.net/latex-awesomebox/,""
babel,"babel – Multilingual support for LaTeX, LuaLaTeX, XeLaTeX, and Plain TeX",multi-lingual,"Javier Bezos López,Johannes L. Braams (inactive)",https://latex3.github.io/babel/,https://mirrors.ctan.org/macros/latex/required/babel/base/README.md,https://github.com/latex3/babel,""
bagpipe,bagpipe – Support for typesetting bagpipe music,music,Walt Innis,https://www.ctan.org/pkg/bagpipe,https://ftp.jaist.ac.jp/pub/CTAN/macros/generic/bagpipe/README,https://www.ctan.org/tex-archive/macros/generic/bagpipe,""
bardiag,bardiag – LaTeX package for drawing bar diagrams,gen chart,R. Stepanyan,https://www.ctan.org/pkg/bardiag,https://mirrors.ctan.org/graphics/bardiag/README,https://www.ctan.org/tex-archive/graphics/bardiag,""
barracuda,barracuda – Draw barcodes with Lua,barcode,Roberto Giacomelli,https://www.ctan.org/pkg/barracuda,https://mirrors.ctan.org/macros/luatex/generic/barracuda/README.md,https://github.com/robitex/barracuda,""
battleship,battleship – A LaTeX style file for typesetting Battleship logic puzzles,"pgf tikz,games",Josef Kleber,https://www.ctan.org/pkg/battleship,https://mirrors.ctan.org/graphics/pgf/contrib/battleship/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/battleship,""
bbold,bbold – Sans serif blackboard bold,"maths font,bbd font,mf font,font",Alan Jeffrey (deceased),https://www.ctan.org/pkg/bbold,https://mirrors.ctan.org/fonts/bbold/README,https://www.ctan.org/tex-archive/fonts/bbold,""
bboldx,bboldx – Extension of the bbold package with a Blackboard Bold alphabet,"font type1,bbd font,font support,maths font,font",Michael Sharpe,https://www.ctan.org/pkg/bboldx,https://mirrors.ctan.org/fonts/bboldx/README,https://www.ctan.org/tex-archive/fonts/bboldx,""
bchart,bchart – Draw simple bar charts in LaTeX,"gen chart,pgf tikz",Tobias Kuhn,https://www.ctan.org/pkg/bchart,https://mirrors.ctan.org/macros/latex/contrib/bchart/README.md,https://github.com/tkuhn/bchart,""
bclogo,bclogo – Creating colourful boxes with logos,"logo,boxing",Maxime Chupin,https://www.ctan.org/pkg/bclogo,https://mirrors.ctan.org/graphics/bclogo/README.md,https://gitlab.gutenberg-asso.fr/mchupin/bclogo,""
beamer,beamer – A LaTeX class for producing presentations and slides,"presentation,class","samcarter,Joseph Wright,Vedran Miletić (inactive),Louis Stuart (inactive),Till Tantau (inactive)",https://www.ctan.org/pkg/beamer,https://mirrors.ctan.org/macros/latex/contrib/beamer/README.md,https://github.com/josephwright/beamer,""
beamertheme-arguelles,"beamertheme-arguelles – Simple, typographic beamer theme",presentation,Michele Piazzai,https://www.ctan.org/pkg/beamertheme-arguelles,https://mirrors.ctan.org/macros/latex/contrib/beamer-contrib/themes/beamertheme-arguelles/README.md,https://github.com/piazzai/arguelles,later
beamerthemecelestia,beamerthemeCelestia – A modern and elegant Beamer theme,presentation,Razik Ikhlef,https://ctan.org/pkg/beamerthemecelestia,https://mirrors.ctan.org/macros/latex/contrib/beamer-contrib/themes/beamerthemecelestia/README.md,https://ctan.org/tex-archive/macros/latex/contrib/beamer-contrib/themes/beamerthemecelestia,cache
bearwear,bearwear – Shirts to dress TikZbears,"amusements,graphics,pgf tikz",Ulrike Fischer,https://www.ctan.org/pkg/bearwear,https://mirrors.ctan.org/macros/latex/contrib/bearwear/README.md,https://github.com/u-fischer/bearwear,""
bg,bg – Annotate backgammon matches and positions,games,Jörg Richter,https://www.ctan.org/pkg/bg,https://mirrors.ctan.org/macros/latex/contrib/bg/README,https://www.ctan.org/tex-archive/macros/latex/contrib/bg,""
bib2qr,bib2qr – Cite BibTeX entries with QR codes,"qr code,biblatex",Christian Schreinemachers,https://www.ctan.org/pkg/bib2qr,https://mirrors.ctan.org/macros/latex/contrib/bib2qr/README.md,https://codeberg.org/Cs137/bib2qr,""
biber,biber – A BibTeX replacement for users of BibLaTeX,biblio,"François Charette,Philip Kime",https://www.ctan.org/pkg/biber,https://mirrors.ctan.org/biblio/biber/base/README.md,https://github.com/plk/biber,""
biblatex-license,biblatex-license – Add license data to the bibliography,"licence management,biblatex",Anselm Wagner,https://www.ctan.org/pkg/biblatex-license,https://mirrors.ctan.org/macros/latex/contrib/biblatex-contrib/biblatex-license/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/biblatex-contrib/biblatex-license,""
biblatex-manuscripts-philology,biblatex-manuscripts-philology – Manage classical manuscripts with BibLaTeX,"biblatex,humanities",Maïeul Rouquette,https://www.ctan.org/pkg/biblatex-manuscripts-philology,https://mirrors.ctan.org/macros/latex/contrib/biblatex-contrib/biblatex-manuscripts-philology/README,https://github.com/maieul/biblatex-manuscripts-philology,""
biblatex-philosophy,biblatex-philosophy – Styles for using BibLaTeX for work in philosophy,"philosophy,biblatex,humanities",Ivan Valbusa,https://www.ctan.org/pkg/biblatex-philosophy,https://mirrors.ctan.org/macros/latex/contrib/biblatex-contrib/biblatex-philosophy/README,https://www.ctan.org/tex-archive/macros/latex/contrib/biblatex-contrib/biblatex-philosophy,""
biblatex-publist,biblatex-publist – BibLaTeX bibliography support for publication lists,biblatex,Jürgen Spitzmüller,https://www.ctan.org/pkg/biblatex-publist,https://mirrors.ctan.org/macros/latex/contrib/biblatex-contrib/biblatex-publist/README,https://github.com/jspitz/biblatex-publist,""
biblatex-realauthor,biblatex-realauthor – Indicate the real author of a work,biblatex,Maïeul Rouquette,https://www.ctan.org/pkg/biblatex-realauthor,https://mirrors.ctan.org/macros/latex/contrib/biblatex-contrib/biblatex-realauthor/README,https://github.com/maieul/biblatex-realauthor,""
biblatex-source-division,biblatex-source-division – References by “division” in classical sources,"biblatex,biblio",Maïeul Rouquette,https://www.ctan.org/pkg/biblatex-source-division,https://mirrors.ctan.org/macros/latex/contrib/biblatex-contrib/biblatex-source-division/README,https://github.com/maieul/biblatex-source-division,""
bibleref,bibleref – Format bible citations,"label and references,theology","Maïeul Rouquette,Nicola Talbot (inactive)",https://www.ctan.org/pkg/bibleref,https://mirrors.ctan.org/macros/latex/contrib/bibleref/README,https://framagit.org/maieul/bibleref/,""
bibletext,bibletext – Insert Bible passages by their reference,theology,Camil Staps,https://www.ctan.org/pkg/bibletext,https://mirrors.ctan.org/macros/latex/contrib/bibletext/README.md,https://github.com/camilstaps/bibletext,""
bibtex,bibtex – Process bibliographies (bib files) for LaTeX or other formats,biblio,Oren Patashnik,https://www.ctan.org/pkg/bibtex,https://mirrors.ctan.org/biblio/bibtex/base/README,https://www.ctan.org/tex-archive/biblio/bibtex/base,""
bicaption,bicaption – Support for bilingual captions,caption,Axel Sommerfeldt,https://www.ctan.org/pkg/bicaption,https://mirrors.ctan.org/macros/latex/contrib/caption/README,https://www.ctan.org/tex-archive/macros/latex/contrib/caption,later
binarytree,binarytree – Drawing binary trees using TikZ,"tree,graphics in tex,pgf tikz",Aleksandrina Nikolova,https://www.ctan.org/pkg/binarytree,https://mirrors.ctan.org/graphics/pgf/contrib/binarytree/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/binarytree,""
biochemistry-colors,"biochemistry-colors – Colors used to display amino acids, nucleotides, sugars or atoms in biochemistry",colour,Engelbert Buxbaum,https://www.ctan.org/pkg/biochemistry-colors,https://mirrors.ctan.org/macros/latex/contrib/biochemistry-colors/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/biochemistry-colors,""
bitpattern,bitpattern – Typeset bit pattern diagrams,"computer science,comp net,engineering",Jean-Marc Bourguet,https://www.ctan.org/pkg/bitpattern,https://mirrors.ctan.org/macros/latex/contrib/bitpattern/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/bitpattern,""
bitter,bitter – The Bitter family of fonts with LaTeX support,"font serif,proportional font,font t1enc,font support,font type1,font ttf,body font,font",Bob Tennent,https://www.ctan.org/pkg/bitter,https://mirrors.ctan.org/fonts/bitter/README,https://www.ctan.org/tex-archive/fonts/bitter,""
bizcard,bizcard – Typeset business cards,file card,Sebastian Marius Kirsch,https://www.ctan.org/pkg/bizcard,\,https://www.ctan.org/tex-archive/macros/latex/contrib/bizcard,later
blochsphere,blochsphere – Draw pseudo-3D diagrams of Bloch spheres,"physics,pgf tikz",Matthew Wardrop,https://www.ctan.org/pkg/blochsphere,https://mirrors.ctan.org/graphics/pgf/contrib/blochsphere/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/blochsphere,""
blockdraw_mp,"blockdraw_mp – Block diagrams and bond graphs, with METAPOST",block diagrams,Henrik Tidefelt,https://www.ctan.org/pkg/blockdraw_mp,https://mirrors.ctan.org/graphics/metapost/contrib/macros/blockdraw_mp/README,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/blockdraw_mp,""
bloques,bloques – Generate control diagrams,control diagrams,Alejandro Garces Ruiz,https://www.ctan.org/pkg/bloques,https://mirrors.ctan.org/graphics/pgf/contrib/bloques/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/bloques,""
blowup,blowup – Upscale or downscale all pages of a document,typesetting,Rolf Niepraschk,https://www.ctan.org/pkg/blowup,https://mirrors.ctan.org/macros/latex/contrib/blowup/README.md,https://github.com/rolfn/blowup,later
blox,"blox – Draw block diagrams, using TikZ","graphics,block diagrams,pgf tikz",Ben Reish,https://www.ctan.org/pkg/blox,https://mirrors.ctan.org/graphics/pgf/contrib/blox/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/blox,""
bodegraph,"bodegraph – Draw Bode, Nyquist and Black plots with gnuplot and TikZ","engineering,graphics plot,pgf tikz",Robert Papanicola,https://www.ctan.org/pkg/bodegraph,https://mirrors.ctan.org/graphics/pgf/contrib/bodegraph/README.txt,https://www.ctan.org/tex-archive/graphics/pgf/contrib/bodegraph,""
bodeplot,"bodeplot – Draw Bode, Nyquist and Nichols plots with gnuplot or pgfplots","pgf tikz,graphics plot,engineering",Rushikesh Kamalapurkar,https://www.ctan.org/pkg/bodeplot,https://mirrors.ctan.org/graphics/pgf/contrib/bodeplot/README.md,https://github.com/rlkamalapurkar/bodeplot,""
